Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,0.840000,0.840000,0.750000,0.790000,0.790000,2885000
2019-11-01,0.800000,0.870000,0.770000,0.850000,0.850000,1835400
2019-11-04,0.880000,0.890000,0.800000,0.810000,0.810000,1908100
2019-11-05,0.820000,0.830000,0.790000,0.810000,0.810000,1287300
2019-11-06,0.800000,0.910000,0.770000,0.900000,0.900000,3425500
2019-11-07,1.380000,1.500000,0.970000,1.020000,1.020000,57027700
2019-11-08,0.900000,1.020000,0.850000,0.880000,0.880000,6013500
2019-11-11,0.880000,0.890000,0.820000,0.850000,0.850000,2107400
2019-11-12,0.860000,1.070000,0.850000,1.060000,1.060000,8584900
2019-11-13,0.950000,1.040000,0.940000,1.000000,1.000000,4669300
2019-11-14,0.990000,1.100000,0.920000,1.080000,1.080000,4258200
2019-11-15,1.100000,1.110000,1.010000,1.040000,1.040000,2974200
2019-11-18,1.050000,1.110000,1.040000,1.080000,1.080000,2902500
2019-11-19,1.070000,1.090000,0.970000,1.000000,1.000000,2837300
2019-11-20,0.970000,1.030000,0.950000,1.010000,1.010000,1359700
2019-11-21,1.000000,1.010000,0.950000,0.980000,0.980000,1729800
2019-11-22,0.980000,0.980000,0.900000,0.950000,0.950000,1700000
2019-11-25,0.950000,1.020000,0.910000,0.960000,0.960000,1552100
2019-11-26,0.960000,0.990000,0.920000,0.930000,0.930000,1079000
2019-11-27,0.980000,0.990000,0.930000,0.960000,0.960000,1269000
2019-11-29,0.950000,0.960000,0.910000,0.950000,0.950000,1115100
2019-12-02,0.940000,0.950000,0.910000,0.950000,0.950000,1211400
2019-12-03,0.930000,0.940000,0.910000,0.930000,0.930000,1096400
2019-12-04,0.920000,0.930000,0.910000,0.920000,0.920000,719300
2019-12-05,1.180000,1.300000,1.010000,1.090000,1.090000,28171600
2019-12-06,1.070000,1.120000,1.010000,1.120000,1.120000,3728500
2019-12-09,1.120000,1.120000,1.030000,1.080000,1.080000,2314900
2019-12-10,1.050000,1.060000,1.010000,1.040000,1.040000,1752600
2019-12-11,1.000000,1.030000,0.980000,0.990000,0.990000,1634400
2019-12-12,1.000000,1.020000,0.970000,1.010000,1.010000,1179600
2019-12-13,1.010000,1.030000,0.980000,1.020000,1.020000,1086700
2019-12-16,1.020000,1.070000,1.010000,1.070000,1.070000,1492200
2019-12-17,1.050000,1.100000,1.040000,1.050000,1.050000,909600
2019-12-18,1.050000,1.050000,1.010000,1.020000,1.020000,771500
2019-12-19,1.160000,1.180000,1.030000,1.050000,1.050000,7132900
2019-12-20,1.040000,1.050000,1.010000,1.030000,1.030000,1719400
2019-12-23,1.030000,1.030000,0.980000,1.020000,1.020000,1454400
2019-12-24,1.020000,1.030000,1.010000,1.020000,1.020000,566100
2019-12-26,1.020000,1.080000,1.020000,1.040000,1.040000,1440800
2019-12-27,1.050000,1.090000,1.030000,1.080000,1.080000,1709600
2019-12-30,1.090000,1.250000,1.080000,1.190000,1.190000,5232300
2019-12-31,1.230000,1.390000,1.210000,1.240000,1.240000,6083000
2020-01-02,1.320000,1.320000,1.180000,1.240000,1.240000,2514200
2020-01-03,1.200000,1.260000,1.110000,1.230000,1.230000,2281200
2020-01-06,1.280000,1.290000,1.210000,1.270000,1.270000,2040400
2020-01-07,1.300000,1.300000,1.220000,1.240000,1.240000,1579800
2020-01-08,1.200000,1.260000,1.190000,1.240000,1.240000,1662400
2020-01-09,1.230000,1.240000,1.160000,1.190000,1.190000,1642100
2020-01-10,1.190000,1.200000,1.170000,1.180000,1.180000,972600
2020-01-13,1.240000,1.240000,1.100000,1.180000,1.180000,1853300
2020-01-14,1.150000,1.180000,1.130000,1.160000,1.160000,1137700
2020-01-15,1.160000,1.210000,1.140000,1.170000,1.170000,1230900
2020-01-16,1.170000,1.270000,1.160000,1.230000,1.230000,2730100
2020-01-17,1.230000,1.250000,1.180000,1.200000,1.200000,1129500
2020-01-21,1.210000,1.230000,1.190000,1.230000,1.230000,1083000
2020-01-22,1.230000,1.310000,1.200000,1.210000,1.210000,3060600
2020-01-23,1.220000,1.220000,1.170000,1.190000,1.190000,1250000
2020-01-24,1.180000,1.200000,1.140000,1.160000,1.160000,1106100
2020-01-27,1.130000,1.140000,1.010000,1.080000,1.080000,1471800
2020-01-28,1.050000,1.150000,1.050000,1.130000,1.130000,821800
2020-01-29,1.130000,1.150000,1.070000,1.080000,1.080000,743100
2020-01-30,1.070000,1.090000,1.010000,1.090000,1.090000,1101600
2020-01-31,1.070000,1.080000,1.030000,1.030000,1.030000,960100
2020-02-03,1.030000,1.070000,1.010000,1.010000,1.010000,883000
2020-02-04,1.060000,1.060000,1.010000,1.050000,1.050000,659600
2020-02-05,1.050000,1.080000,1.030000,1.040000,1.040000,507600
2020-02-06,1.030000,1.060000,1.020000,1.030000,1.030000,417800
2020-02-07,1.030000,1.040000,1.010000,1.020000,1.020000,582600
2020-02-10,1.100000,1.210000,1.040000,1.130000,1.130000,5956800
2020-02-11,1.100000,1.110000,1.060000,1.080000,1.080000,1200200
2020-02-12,1.070000,1.080000,1.040000,1.040000,1.040000,729200
2020-02-13,1.060000,1.060000,1.020000,1.040000,1.040000,589100
2020-02-14,1.020000,1.050000,1.020000,1.050000,1.050000,749400
2020-02-18,1.050000,1.070000,1.020000,1.040000,1.040000,905900
2020-02-19,1.040000,1.070000,1.030000,1.060000,1.060000,458800
2020-02-20,1.050000,1.090000,1.040000,1.070000,1.070000,717800
2020-02-21,1.100000,1.150000,1.090000,1.110000,1.110000,2389000
2020-02-24,1.100000,1.110000,1.050000,1.080000,1.080000,1063500
2020-02-25,1.080000,1.110000,1.040000,1.060000,1.060000,953200
2020-02-26,1.050000,1.060000,1.020000,1.040000,1.040000,890400
2020-02-27,1.020000,1.020000,0.850000,0.950000,0.950000,2382200
2020-02-28,0.910000,1.090000,0.910000,0.990000,0.990000,2030900
2020-03-02,1.080000,1.250000,1.000000,1.250000,1.250000,3517600
2020-03-03,1.100000,1.190000,1.060000,1.090000,1.090000,1595300
2020-03-04,1.160000,1.160000,1.050000,1.090000,1.090000,945800
2020-03-05,1.070000,1.150000,1.050000,1.130000,1.130000,2522000
2020-03-06,0.860000,0.870000,0.700000,0.760000,0.760000,7185500
2020-03-09,0.620000,0.880000,0.610000,0.850000,0.850000,6701100
2020-03-10,1.090000,1.100000,0.690000,0.760000,0.760000,19070200
2020-03-11,0.620000,0.700000,0.560000,0.580000,0.580000,4846600
2020-03-12,0.480000,0.550000,0.470000,0.480000,0.480000,2176400
2020-03-13,0.520000,0.520000,0.470000,0.480000,0.480000,1381000
2020-03-16,0.470000,0.490000,0.430000,0.450000,0.450000,984400
2020-03-17,0.480000,0.560000,0.450000,0.500000,0.500000,1062300
2020-03-18,0.490000,0.500000,0.390000,0.390000,0.390000,1273600
2020-03-19,0.420000,0.450000,0.390000,0.400000,0.400000,1395300
2020-03-20,0.430000,0.620000,0.410000,0.420000,0.420000,6753800
2020-03-23,0.430000,0.490000,0.420000,0.430000,0.430000,1411300
2020-03-24,0.430000,0.470000,0.420000,0.460000,0.460000,1402900
2020-03-25,0.450000,0.470000,0.400000,0.440000,0.440000,1632100
2020-03-26,0.430000,0.450000,0.420000,0.440000,0.440000,1458800
2020-03-27,0.430000,0.450000,0.420000,0.450000,0.450000,1334200
2020-03-30,0.470000,0.470000,0.420000,0.430000,0.430000,672500
2020-03-31,0.580000,0.660000,0.440000,0.460000,0.460000,20888400
2020-04-01,0.420000,0.450000,0.390000,0.390000,0.390000,6804000
2020-04-02,0.280000,0.290000,0.250000,0.260000,0.260000,24430800
2020-04-03,0.270000,0.280000,0.260000,0.280000,0.280000,6557200
2020-04-06,0.280000,0.280000,0.270000,0.280000,0.280000,7511600
2020-04-07,0.280000,0.280000,0.280000,0.280000,0.280000,4146400
2020-04-08,0.320000,0.320000,0.290000,0.300000,0.300000,13727900
2020-04-09,0.320000,0.350000,0.310000,0.320000,0.320000,11000300
2020-04-13,0.330000,0.330000,0.310000,0.330000,0.330000,4501300
2020-04-14,0.330000,0.350000,0.330000,0.340000,0.340000,4822900
2020-04-15,0.350000,0.410000,0.320000,0.390000,0.390000,12957900
2020-04-16,0.390000,0.390000,0.340000,0.380000,0.380000,6705500
2020-04-17,0.350000,0.380000,0.340000,0.350000,0.350000,5753300
2020-04-20,0.350000,0.350000,0.330000,0.340000,0.340000,3410400
2020-04-21,0.350000,0.360000,0.340000,0.350000,0.350000,2658500
2020-04-22,0.380000,0.410000,0.360000,0.370000,0.370000,14809600
2020-04-23,0.360000,0.360000,0.340000,0.350000,0.350000,4232200
2020-04-24,0.350000,0.350000,0.340000,0.350000,0.350000,2496800
2020-04-27,0.360000,0.390000,0.350000,0.390000,0.390000,5705200
2020-04-28,0.400000,0.430000,0.390000,0.410000,0.410000,9517300
2020-04-29,0.430000,0.430000,0.390000,0.410000,0.410000,5328200
2020-04-30,0.400000,0.440000,0.390000,0.400000,0.400000,2900700
2020-05-01,0.400000,0.410000,0.380000,0.390000,0.390000,2188200
2020-05-04,0.370000,0.390000,0.370000,0.380000,0.380000,1996400
2020-05-05,0.380000,0.390000,0.380000,0.380000,0.380000,1751200
2020-05-06,0.380000,0.380000,0.350000,0.360000,0.360000,3886500
2020-05-07,0.340000,0.360000,0.340000,0.360000,0.360000,3457900
2020-05-08,0.360000,0.390000,0.350000,0.370000,0.370000,1991100
2020-05-11,0.380000,0.450000,0.370000,0.440000,0.440000,17159300
2020-05-12,0.470000,0.520000,0.390000,0.410000,0.410000,22380900
2020-05-13,0.430000,0.440000,0.380000,0.400000,0.400000,6175800
2020-05-14,0.400000,0.420000,0.380000,0.400000,0.400000,5703900
2020-05-15,0.360000,0.380000,0.350000,0.370000,0.370000,4218900
2020-05-18,0.390000,0.400000,0.360000,0.380000,0.380000,5296200
2020-05-19,0.410000,0.420000,0.380000,0.390000,0.390000,11488100
2020-05-20,0.380000,0.390000,0.370000,0.390000,0.390000,4060400
2020-05-21,0.380000,0.440000,0.380000,0.430000,0.430000,13173900
2020-05-22,0.430000,0.470000,0.410000,0.470000,0.470000,15022800
2020-05-26,0.540000,0.550000,0.500000,0.500000,0.500000,17500200
2020-05-27,0.490000,0.490000,0.420000,0.450000,0.450000,10621900
2020-05-28,0.430000,0.480000,0.420000,0.460000,0.460000,7002100
2020-05-29,0.470000,0.470000,0.430000,0.450000,0.450000,4445200
2020-06-01,0.440000,0.450000,0.430000,0.430000,0.430000,2369000
2020-06-02,0.430000,0.530000,0.420000,0.490000,0.490000,23277200
2020-06-03,0.460000,0.490000,0.450000,0.480000,0.480000,5826100
2020-06-04,0.470000,0.560000,0.460000,0.540000,0.540000,17985300
2020-06-05,0.560000,0.560000,0.500000,0.530000,0.530000,9162600
2020-06-08,0.590000,0.590000,0.520000,0.540000,0.540000,17210900
2020-06-09,0.550000,0.600000,0.540000,0.550000,0.550000,10401000
2020-06-10,0.580000,0.650000,0.540000,0.570000,0.570000,25618300
2020-06-11,0.590000,0.590000,0.500000,0.510000,0.510000,12777900
2020-06-12,0.570000,0.570000,0.520000,0.520000,0.520000,6486000
2020-06-15,0.520000,0.540000,0.490000,0.520000,0.520000,5104800
2020-06-16,0.540000,0.550000,0.510000,0.530000,0.530000,5694000
2020-06-17,0.540000,0.540000,0.500000,0.510000,0.510000,5194600
2020-06-18,0.500000,0.580000,0.500000,0.520000,0.520000,23860200
2020-06-19,0.520000,0.520000,0.460000,0.470000,0.470000,12641900
2020-06-22,0.470000,0.470000,0.440000,0.440000,0.440000,7510000
2020-06-23,0.450000,0.460000,0.440000,0.450000,0.450000,4614100
2020-06-24,0.450000,0.500000,0.450000,0.470000,0.470000,12996500
2020-06-25,0.470000,0.480000,0.450000,0.470000,0.470000,5080900
2020-06-26,0.480000,0.490000,0.440000,0.440000,0.440000,7062000
2020-06-29,0.460000,0.540000,0.430000,0.470000,0.470000,27546000
2020-06-30,0.480000,0.520000,0.460000,0.510000,0.510000,13864300
2020-07-01,0.520000,0.600000,0.480000,0.570000,0.570000,60316200
2020-07-02,0.530000,0.530000,0.470000,0.490000,0.490000,22403700
2020-07-06,0.500000,0.500000,0.470000,0.470000,0.470000,8956200
2020-07-07,0.480000,0.490000,0.450000,0.480000,0.480000,11714600
2020-07-08,0.490000,0.490000,0.470000,0.470000,0.470000,11049900
2020-07-09,0.520000,0.520000,0.480000,0.490000,0.490000,16974600
2020-07-10,0.540000,0.560000,0.510000,0.530000,0.530000,29107900
2020-07-13,0.540000,0.550000,0.500000,0.500000,0.500000,11828000
2020-07-14,0.500000,0.500000,0.470000,0.490000,0.490000,6402300
2020-07-15,0.500000,0.510000,0.500000,0.500000,0.500000,5979800
2020-07-16,0.500000,0.540000,0.490000,0.520000,0.520000,19857300
2020-07-17,0.660000,0.870000,0.610000,0.620000,0.620000,161223100
2020-07-20,0.700000,0.720000,0.650000,0.680000,0.680000,44642100
2020-07-21,0.800000,0.920000,0.750000,0.830000,0.830000,98857700
2020-07-22,1.000000,1.160000,0.820000,0.890000,0.890000,143960200
2020-07-23,0.890000,0.890000,0.700000,0.780000,0.780000,57783900
2020-07-24,0.900000,1.050000,0.830000,0.890000,0.890000,127001600
2020-07-27,0.860000,0.860000,0.780000,0.810000,0.810000,31207800
2020-07-28,0.760000,0.840000,0.750000,0.830000,0.830000,23795200
2020-07-29,0.780000,0.800000,0.740000,0.750000,0.750000,21927600
2020-07-30,0.830000,0.840000,0.770000,0.800000,0.800000,28313500
2020-07-31,0.790000,0.800000,0.770000,0.790000,0.790000,10361300
2020-08-03,0.800000,0.810000,0.770000,0.790000,0.790000,13119600
2020-08-04,0.770000,0.790000,0.760000,0.780000,0.780000,10216100
2020-08-05,0.770000,0.780000,0.720000,0.750000,0.750000,13137700
2020-08-06,0.740000,0.820000,0.730000,0.800000,0.800000,31348000
2020-08-07,0.970000,1.010000,0.830000,0.860000,0.860000,73658500
2020-08-10,0.830000,0.850000,0.820000,0.840000,0.840000,12847300
2020-08-11,0.820000,0.820000,0.780000,0.800000,0.800000,10862000
2020-08-12,0.790000,0.800000,0.750000,0.770000,0.770000,9402600
2020-08-13,0.750000,0.770000,0.740000,0.770000,0.770000,10121100
2020-08-14,0.730000,0.740000,0.670000,0.700000,0.700000,15140200
2020-08-17,0.670000,0.680000,0.640000,0.660000,0.660000,9709100
2020-08-18,0.680000,0.750000,0.670000,0.720000,0.720000,14265500
2020-08-19,0.720000,0.720000,0.670000,0.680000,0.680000,6695200
2020-08-20,0.710000,0.710000,0.670000,0.680000,0.680000,7132700
2020-08-21,0.660000,0.670000,0.610000,0.640000,0.640000,12463600
2020-08-24,0.680000,0.680000,0.590000,0.610000,0.610000,12468000
2020-08-25,0.590000,0.680000,0.580000,0.670000,0.670000,12591500
2020-08-26,0.690000,0.700000,0.650000,0.650000,0.650000,9091100
2020-08-27,0.640000,0.640000,0.610000,0.630000,0.630000,7374900
2020-08-28,0.600000,0.620000,0.590000,0.620000,0.620000,6774900
2020-08-31,0.600000,0.610000,0.580000,0.610000,0.610000,8616500
2020-09-01,0.590000,0.590000,0.540000,0.560000,0.560000,10213000
2020-09-02,0.550000,0.600000,0.550000,0.590000,0.590000,8102200
2020-09-03,0.570000,0.580000,0.530000,0.540000,0.540000,7212600
2020-09-04,0.530000,0.540000,0.470000,0.530000,0.530000,15240200
2020-09-08,0.500000,0.530000,0.480000,0.490000,0.490000,6935200
2020-09-09,0.510000,0.520000,0.490000,0.500000,0.500000,6714700
2020-09-10,0.510000,0.570000,0.510000,0.540000,0.540000,8830600
2020-09-11,0.540000,0.540000,0.510000,0.520000,0.520000,2688900
2020-09-14,0.530000,0.550000,0.520000,0.550000,0.550000,4616500
2020-09-15,0.540000,0.620000,0.530000,0.600000,0.600000,8828500
2020-09-16,0.600000,0.610000,0.570000,0.590000,0.590000,5189400
2020-09-17,0.570000,0.640000,0.570000,0.630000,0.630000,11018800
2020-09-18,0.630000,0.660000,0.620000,0.620000,0.620000,10818900
